week,mean,lo,hi,sim,method,Rt_true
21,1.939107383968858,1.1851371760589895,2.7706129046119137,2,NeuralSBI,0.2917529168452906
22,1.8539316871177176,1.1013325836408292,2.754461532783281,2,NeuralSBI,0.2828126170726281
23,1.782538186464043,1.0384918476366964,2.727315053515288,2,NeuralSBI,0.27388494348510345
24,1.693615420895387,0.9682848880499946,2.712416626503242,2,NeuralSBI,0.26506410086086674
25,1.6191960770806317,0.8977188318246673,2.7045415319317505,2,NeuralSBI,0.25643641988776505
26,1.5426695033433826,0.8390903768387907,2.677816057546514,2,NeuralSBI,0.2480776385796299
27,1.474569503397365,0.7888558192061124,2.6487112493763023,2,NeuralSBI,0.24005344974820922
28,1.4055460572305019,0.745305104486548,2.6414833506737687,2,NeuralSBI,0.2324202681657496
29,1.340163456818269,0.7047141865647422,2.6176757906265395,2,NeuralSBI,0.22522627533758446
30,1.28164225326007,0.6666419775598309,2.585057320697383,2,NeuralSBI,0.21851259325646236
31,1.230249452878199,0.6287915724114777,2.542647738635941,2,NeuralSBI,0.21231447114481314
32,1.1879832016670266,0.6028966347010812,2.492848146628614,2,NeuralSBI,0.20666254780523782
33,1.1551459633315164,0.578365168724317,2.435259864135363,2,NeuralSBI,0.20158414417067902
34,1.1282473939658584,0.561093888906876,2.396258872336116,2,NeuralSBI,0.19710457977975548
35,1.106561772581497,0.551102359944712,2.3753200365118556,2,NeuralSBI,0.19323348304473653
36,1.0887843179000845,0.5487629036292323,2.317596964363142,2,NeuralSBI,0.18992310206169255
37,1.0750038762098746,0.5501399087921526,2.255792338723076,2,NeuralSBI,0.18711715046664062
38,1.0731314953434048,0.5586806530812874,2.180606737338904,2,NeuralSBI,0.1847653049402522
39,1.0708041012902054,0.5695502590627455,2.0973352138067027,2,NeuralSBI,0.18282219542568778
40,1.0748547503416739,0.5821545055545149,2.0422898668124514,2,NeuralSBI,0.18124654068845464
41,1.0837651707952676,0.5910557586447241,2.020458534000234,2,NeuralSBI,0.18000040538776668
42,1.0987036981775233,0.6121974434100572,1.9861584639517216,2,NeuralSBI,0.17904855956730256
43,1.1102767201084984,0.6080916401931881,2.0223073181120528,2,NeuralSBI,0.17835792535392225
44,1.1220082846313706,0.6156044798038551,2.0247688331216667,2,NeuralSBI,0.1778970988502123
45,1.1448205185139484,0.626158230646136,2.0454640014512733,2,NeuralSBI,0.17763593785540802
46,1.1683556392477419,0.6240688324409622,2.084374566022557,2,NeuralSBI,0.1775452082527049
